name,description,stars,primary_role,secondary_role,signal_strength,tier,rank
Patrick von Platen,"HuggingFace core engineer. Built transformer inference pipelines, diffusion model tools, and LLM fine‑tuning frameworks.",680,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,922.0,🧠 Foundational AI,19
Jason Phang,"HuggingFace researcher. Leader in LLaMA tuning, evaluation frameworks, model alignment, and scaling methods.",720,Applied LLM / GenAI Engineer,RLHF / Alignment Engineer,918.0,🧠 Foundational AI,20
Long Ouyang,"Co‑author of the RLHF process behind ChatGPT. Specialist in preference learning, reward models, and supervised policy optimization for alignment.",850,RLHF / Alignment Engineer,Foundational AI / Frontier Research Scientist,905.0,🧠 Foundational AI,21
Daniel H,Meta AI infra. Built LLaMA training infrastructure and distributed compute stack.,650,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,895.0,🧠 Foundational AI,22
DBRX Scientist,Databricks MoE model developer. Efficient scaling of DBRX.,650,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,895.0,🧠 Foundational AI,23
Brian C,"OpenAI infra engineer. Manages GPU clusters, distributed LLM training orchestration.",680,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,892.0,🧠 Foundational AI,24
Lysandre Debut,"Transformers core developer. Maintains LLM inference libraries, tokenization, and architecture integrations.",630,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,877.0,🧠 Foundational AI,25
Tri Dao,"Creator of FlashAttention. Major contributor to efficient attention kernels, inference acceleration, and GPU memory optimization.",820,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,868.0,🧠 Foundational AI,26
Yao Fu,"DeepSeek researcher. Pioneer in mixture‑of‑experts scaling, routing efficiency, and distributed LLM training.",820,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,868.0,🧠 Foundational AI,27
Sylvain Gugger,"Lead developer of HuggingFace Trainer. Expert in LLM optimization, DeepSpeed integration, and parameter‑efficient fine‑tuning.",640,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,856.0,🧠 Foundational AI,28
Alex M,"Anthropic Claude researcher. RLHF, constitutional AI, alignment pipelines.",640,RLHF / Alignment Engineer,Applied LLM / GenAI Engineer,846.0,🧠 Foundational AI,29
Sharan Narang,"Co‑author GPT‑3. Specialized in model parallelism, ZeRO, and multi‑node LLM training.",790,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,841.0,🧠 Foundational AI,30
Mike P,"Ray Serve engineer. Expert in distributed inference, autoscaling, and production LLM serving.",560,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,839.0,🧠 Foundational AI,31
Tim Dettmers,Creator of bitsandbytes. Leader in 8‑bit and 4‑bit quantization. Makes LLMs efficient for inference and fine‑tuning.,780,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,832.0,🧠 Foundational AI,32
Chris L,"DeepMind robotics + LLM agent researcher. Combines RL, robotics, and multimodal generative models.",580,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,832.0,🧠 Foundational AI,33
Stephan Angrick,NVIDIA TensorRT‑LLM engineer. Expert in GPU inference optimization and quantized model acceleration.,610,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,829.0,🧠 Foundational AI,34
Lina S,Anthropic infra engineer. Trains Claude models using parallelized pipelines and fault‑tolerant GPU clusters.,600,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,820.0,🧠 Foundational AI,35
Travis Addair,"vLLM maintainer. Specialist in high‑throughput inference, continuous batching, token streaming.",600,Applied LLM / GenAI Engineer,AI / ML Infrastructure & Distributed Systems,820.0,🧠 Foundational AI,36
Colin Raffel,"Author of T5. Pioneer in transfer learning, pretraining strategies, and text‑to‑text LLM frameworks.",760,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,814.0,🧠 Foundational AI,37
Andrej Baranovskis,"NVIDIA TensorRT‑LLM contributor. Specialist in CUDA kernels, quantization, GGUF/GPTQ acceleration.",580,AI / ML Infrastructure & Distributed Systems,Applied LLM / GenAI Engineer,802.0,🧠 Foundational AI,38
Jared F,"Chinchilla researcher. Token‑efficient training, scaling laws.",690,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,801.0,🧠 Foundational AI,39
Ahmed E,"DeepSpeed engineer. Works on FSDP, ZeRO‑3, distributed data parallel training optimization.",700,AI / ML Infrastructure & Distributed Systems,Foundational AI / Frontier Research Scientist,780.0,🧠 Foundational AI,40
Hyung Won Chung,GPT‑3 scaling researcher. Built optimized training frameworks and distributed compute strategies.,830,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,747.0,🧠 Foundational AI,41
Claude Infra,Anthropic infrastructure for large‑scale MoE models.,620,Foundational AI / Frontier Research Scientist,Applied LLM / GenAI Engineer,738.0,🧠 Foundational AI,42
Jerry Liu,"Creator of LlamaIndex. Expert in RAG pipelines, vector search integration, and multi‑vector retrieval.",560,RAG / Retrieval Engineer,Applied LLM / GenAI Engineer,724.0,🧠 Foundational AI,43
Kevin X,"vLLM developer. Focused on paged attention, high‑speed inference, serving architecture.",630,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,697.0,🧠 Foundational AI,44
OpenAI RLHF Engineer,"Builds reward models, safety alignment, and fine‑tuning systems.",610,RLHF / Alignment Engineer,Foundational AI / Frontier Research Scientist,689.0,🧠 Foundational AI,45
Emily L,"PyTorch engineer. Contributed to torch.compile, distributed training, and graph optimization.",590,AI / ML Infrastructure & Distributed Systems,Foundational AI / Frontier Research Scientist,681.0,🧠 Foundational AI,46
Sarah K,"OpenAI embeddings engineer. High‑quality embedding models, vector similarity system integration.",600,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,670.0,🧠 Foundational AI,47
Phi Researcher,"Microsoft small‑LLM optimization, embedding‑dense architectures.",540,Applied LLM / GenAI Engineer,Foundational AI / Frontier Research Scientist,616.0,🧠 Foundational AI,48
Harrison Chase,"Creator of LangChain. Architect of enterprise RAG pipelines, agent frameworks, and chain‑orchestration libraries.",570,RAG / Retrieval Engineer,Foundational AI / Frontier Research Scientist,603.0,🧠 Foundational AI,49
Jeff J,"FAISS engineer. Dense retrieval, fast ANN search, GPU‑accelerated similarity algorithms.",510,Vector DB / Retrieval Infra Engineer,Foundational AI / Frontier Research Scientist,529.0,🧠 Foundational AI,50
Hao L,"Milvus engineer. Vector DB retrieval, distributed indexing, hybrid search optimization.",480,Vector DB / Retrieval Infra Engineer,Foundational AI / Frontier Research Scientist,502.0,🧠 Foundational AI,51
Daniel K,"OpenSearch engineer. Built vector search capabilities, hybrid retrieval systems.",450,RAG / Retrieval Engineer,Foundational AI / Frontier Research Scientist,495.0,🧠 Foundational AI,52
Sergey M,"Qdrant engineer. Vector similarity search, memory‑efficient indexing.",470,Vector DB / Retrieval Infra Engineer,Foundational AI / Frontier Research Scientist,493.0,🧠 Foundational AI,53
Robin T,ElasticSearch vector search engineer. Dense + hybrid retrieval engines.,440,RAG / Retrieval Engineer,Foundational AI / Frontier Research Scientist,486.0,🧠 Foundational AI,54
Petra M,"Weaviate engineer. ANN search, semantic vector retrieval specialist.",460,Vector DB / Retrieval Infra Engineer,Foundational AI / Frontier Research Scientist,484.0,🧠 Foundational AI,55
